Date,ADP
2018-10," 45,584 "
2018-11," 46,202 "
2018-12," 48,783 "
2019-01," 46,947 "
2019-02," 48,593 "
2019-03," 48,958 "
2019-04," 49,173 "
2019-05," 51,823 "
2019-06," 54,254 "
2019-07," 54,220 "
2019-08," 55,238 "
2019-09," 52,091 "
2019-10," 50,218 "
2019-11," 46,171 "
2019-12," 42,751 "
2020-01," 41,115 "
2020-02," 39,313 "
2020-03," 37,688 "
2020-04," 31,823 "
2020-05," 27,189 "
2020-06," 24,204 "
2020-07," 22,549 "
2020-08," 21,397 "
2020-09," 20,227 "
2020-10," 18,747 "
2020-11," 16,872 "
2020-12," 16,130 "
2021-01," 15,104 "
2021-02," 14,090 "
2021-03," 14,151 "
2021-04," 14,890 "
